
Japanska flota je napala|i delimièno uništila
Dobiæemo onih 12 aviona|B-17 iz Kalifornije ujutru.
Da, javio sam kontrolnom|tornju u Honoluluu
da prate radio veze celu noæ.|-Dobro, biæemo onda
zajedno na kontrolnom|tornju u 7,30. -Da, ser.
Tajler, imam posao za tebe.|-Izvolite.
Javi se u novi radarski|centar u 4,00. -U 4 ujutru?
Izvesti nas u 7.00. Biæe èudno|ako bude radio tri sata.
Baš si sreæan momak.
Kako se oseæate, kapetane?|Prva komanda, prva patrola.
Sasvim dobro.
Moram malo da odspavam.
Laku noæ, gospodine.|-Laku noæ.
Vrhovni komandant|je poslao poruku
poželevši nam sreæu.
To, i carska proklamacija,
bez sumnje potvrðuje|vašu odanost carevini.
Uspeh ove misije zavisi|od iznenaðenja.
Ako to uspemo biæe poslata|šifra, "TORA, TORA, TORA".
Sada, kada se približava|èas bitke,
neæu vas gnjaviti|uobièajenim govorima.
Umesto toga, podiæi æu|èuvenu "Z" zastavu,
pod kojom je komandant|Tago vodio svoju flotu
u pobedu u istorijskoj|bici protiv Rusa.
NEDELJA UJUTRU,|7. DECEMBAR, 1941.
Uzmi ovo.
Kramer ovde. -Al,|slušaj ovo. 14-ti deo.
"Neka ambasador podnese|naš odgovor vladi SAD,
taèno u jedan popodne,|7-og decembra,
po vašem vremenu".
U jedan popodne?
Taèno u jedan popodne,|po vašem vremenu.
Odmah dolazim!
AMBASADA SAD TOKIO
DŽOZEF C. GRU|AMBASADOR SAD U JAPANU
Pogledajte vreme na|predsednikovoj poruci!
Poslata je pre više sati.|-U poslednje vreme veze
su nam jako loše. -Možda|ih namerno prekidaju.
Džin, pozovi ministra|inostranih poslova!
Želimo odmah audijenciju|kod Cara.
Zašto je ovo toliko važno?
Da li ta Ruzveltova poruka|govori nešto novo?
Predlaže poštenu razmenu|izmeðu dva šefa država.
To bi vam omoguæilo da|ponovo zapoènete pregovore.
Prekasno je za to!
Dobro je da poruka nije|stigla par dana ranije.
Šta da kažem|ambasadoru Gruu?
Vi ste ministar inostranih|poslova!
Sami izvestite palatu|o toj poruci.
Posle ove poruke,
èetrnaesti deo,
odmah uništite,
cifarnik,
mašinu,
sve šifre,
i tajna dokumenta.
Dajte to da se odmah prevede!|Dajte kopiju Krameru, èim doðe.
Da, gospodine. -Ja moram|da se gubim odavde!
Pogledaj.|Najzad smo ga dobili.
Komunikacioni centar!
Èak i radi. -Divno.|-Samo proveravamo veze.
Èujete li nas?
Jasno i glasno.
Gde je general?|-Nedelja je, gospodine.
Centrala, ovde je pukovnik|Braton. Dajte mi šefa
glavnog štaba, generala|Maršala! Da, vrlo je važno!
Ovde štab, narednik Devero.
Da, pukovnièe Braton.
Žao mi je,|general nije ovde.
Tamo gde i uvek nedeljom|pre podne u ovo vreme.
Gde je pukovnik Braton?|-Traži generala Maršala.
Ostavio vam je ovo.
Posle primanja 14-og dela,|odmah uništite
mašinu za dešifrovanje,|sve šifre i tajna dokumenta.
Evo još jednog dela poruke,|gospodine.
Treba da predamo poruku|danas u jedan sat popodne.
U jedan popodne?
14-ti deo poruke, ser,|nedvosmisleno pokazuje
da æe Japanci napasti.
Admiral Harold Stark,|komandant pomorskih operacija
Niko ne sumnja|da æe doæi do rata.
Ta ekspedicija vazdušnih|snaga ide na jug.
Ser, pošto nema sumnje|u namere o napadu, možda,
treba da telefonirate admiralu|Kimelu. Na Havajima je.
Bolje da prvo pozovem|Predsednika.
Molim vas, izvinite me.|-Da, ser. -Hvala.
NEDELJA, 7. DECEMBAR 1941.
Ljudi su dobro raspoloženi.|Jedva èekaju da krenu.
Da, jedva èekaju,|jer još nisu okusili borbu.
Avio mehanièari vam ovo šalju|za sreæu kod Perl Harbura.
Postavi brod u pravcu vetra.
Japanska vlada, sa žaljenjem,|saopštava svoj stav
amerièkoj vladi, da nije|moguæe postiæi sporazum
daljim pregovorima.
GENERAL DŽORDŽ C. MARŠAL|Šef glavnog štaba, armije SAD
Ser, ima još dve poruke.|-Hvala.
Gospodo, uveren sam da æe|Japanci napasti danas,
odmah posle 13.00.|Nareðujem pripravnost
svih komandnih oficira.|-Da, gospodine.
Pukovnièe Braton,|samo èas.
Ponesite ovo u centar|za veze.
Pratiæemo taj brod do|ulaska u Perl Harbur.
Napred.
Kapetane, poruènik Gepner|moli da doðete na most. -Dobro.
Ima li neèega, g. Gepner?|-Nismo sigurni.
Kakav je to brod? -Lièi na|mornarièki remorker.
Pogledajte mu krmu,|kapetane.
Vuèe mete. -Pogledajte ono|izmeðu nas i njega, ser.
To je podmornica,|g. Gepner!
Oèigledno hoæe da se uvuèe|u luku. Obavestite glavni štab.
Obavestite glavni štab! -Punom|snagom napred! -Da, ser.
15 stepeni ulevo!
Pripremite se za napad.|-Da, gospodine.
Budite spremni, napadamo.
Broj 1, otpoèni paljbu!
Spremite se za bacanje|dubinskih bombi.
Baci prvu!
Baci drugu!
Javi da bacamo dubinske|bombe na podmornicu
u našoj bezbednosnoj zoni.|-Da, gospodine.
Kapetan Erl ovde.|-Imamo poruku od Vorda.
Proèitajte mi.
"Bacamo dubinske bombe na|podmornicu u bezbednosnoj zoni."
Imali smo toliko lažnih|uzbuna, Kaminski.
Ovoga puta je stvarno, ser.|Najbliže od svega do sada.
Na samom ulasku u luku.|-Znaš i sam da je taj
kapetan žutokljunac.|Preneæu admiralu Bloku.
Uz svo poštovanje, ser, mislim|da treba svim komandantima.
Prvo potvrdu, Kaminski.|Želim potvrdu!
Zalazak sunca podseæa|me na našu zastavu.
Dobar predznak.
General Maršal želi da|ovo pošaljete svim
komandantima što pre!|-Dobro.
Generalov rukopis.|Teško ga je èitati.
Moraæete da mi pomognete.
Hej, uhvatio sam|Honolulu na radiju!
Proveri tvoj brojèanik|pokazivaèa pravca.
Pokazuje 5 stepeni u odnosu|na luku, ser.
Dobro, prati taj kurs.
Major TRUMAN H. LENDON|Amerièka avijacija
Majore, uhvatio sam|muziku sa Honolulua.
Dobro, pusti i nama.
Gde je taj prokleti kamion?
Proveri, Džordž,|veæ je prošlo sedam.
Doði ovamo, Džo.
Šta misliš da je? Posmatram|to veæ nekoliko minuta.
Približava se brzo. Još nisam|video nešto tako veliko.
Podseæa na dve nimfe.|-Džo, našao sam!
Oko 230 km severno,|3 stepena istoèno.
Nemamo avione tako daleko.|-Džo, moramo zvati centar.
Naša smena je završena,|prošlo je sedam sati.
Moramo to razjasniti.|-Dobro, samo izvoli.
Informativni centar.
Da? Ne znam, Mek.|Razišli su se.
A, tako? Saèekajte malo.|G. poruènièe.
Poruènik Tejlor. -Ovde redov|Eliot sa osmatraènice.
Velika formacija aviona|se približava.
230 km sa severa,|3 stepena istoèno. -Da?
Ne brinite zbog toga.
Momci su sigurno uhvatili|onu grupu B-17.
Rekao je da ne brinemo.|-Hajde da jedemo.
Pukovnièe, poslao sam ovo|za Manilu preko S. Franciska.
Direktan kanal za Havaje|ne radi.
Opet smetnje u atmosferi?|-Da, danas je jako loše.
Možda to možemo da|damo mornarici.
Zašto mislite da je kod njih|bolja situacija?
Pošaljite to kao telegram.|-Da, gospodine.
OTVORENO MORE, JAPAN
Vašingtonu treba uruèiti|ultimatum uoèi napada.
Nadam se da sve teèe po planu.|-Ne brinite, gospodine.
Car insistira da se držimo|odluka ženevske konvencije.
Naša objava rata biæe uruèena|Vašingtonu u 13.00h,
30 minuta pre poèetka|napada.
Kucanje još uvek|nije gotovo.
Moraæemo da odložimo sastanak|sa Sekretarom za jedan sat.
Podmornica je primeæena pre|pola sata i sad mi javljate?
Baš me briga što nije|bilo potvrðeno!
Trebalo je da me odmah|obavestite.
Podmornica koja je tako|blizu je vrlo ozbiljna stvar!
Vrlo ozbiljna stvar! Pošaljite|potvrdu u moju kancelariju!
I to odmah! Pozovi mi kola!|-Da, gospodine.
Da javim generalu Šortu|da neæete na golf?
Ne, doðavola,|pozovi mi kola!
Poruka za generala Šorta.|-Je li mnogo hitno? -Ne.
ŠKOLA LETENJA
Jutros je malo nemirno, Dejvi,|ali moraš da nauèiš da letiš
po svakakvom vremenu.|-Svakako, gðice Fajn.
Ispravi malo. To je bolje.|Dobar si.
Ja æu preuzeti, Dejvi.
Oficiru Mizuki, poruka svim|avionima, "Spremni za napad".
Fušida javlja, "Cilj na vidiku,|spremamo se za napad."
Sve je èudno mirno.
Protivvazdušna odbrana SAD|nije ispalila ni hitac.
Nema neprijateljskih lovaca|iznad luke, gospodine!
Uspeli smo!
Šaljite poruku,|"Tora! Tora! Tora!"
Tora! Tora! Tora!
Tora! Tora! Tora!
Spremi se!
Na izvršenje!
Prijavi ove zbog kršenja|propisa o bezbednosti.
Hajdemo!
Uzbuna! Svim komandama!
Vazdušni napad na Perl|Harbur! Ovo nije vežba!
Svi na položaje!|Svi na položaje!
Neko reèe da je napadnut|Perl Harbur!
Šta se dešava, doðavola?
Zašto vojska nije|upozorena?
Je li neko obavestio Vašington?|Tako sam i mislio.
Džo, pozovi sve jedinice!|Skupi teritorijalnu odbranu!
Komandu preuzima Al Krejter!|-Da, ser! -Odmah silazim!
Ta kopilad æe nas|sve pobiti!
Dajte oružje i municiju!|I vi, poruènièe!
Zovite aerodrom. -Pokušavam,|ali sve veze su blokirane.
Pokušaj preko radija,|ponovo.
Ser, èuo sam nešto èudno|na radiju Honolulu.
Kakva je ovo saobraæajna|gužva?
Na radiju kažu da je napad!|-To su Japanci, gospodine!
Baš smo našli kad da uletimo|u rat. Ponestaje nam gorivo.
Voða zove flotu!|Upali smo usred rata!
Sklanjajte se što brže možete!|I gde god možete!
Ništa ne možemo, sem da|kružimo i dajemo uzbunu!
Pogoðeni smo. Izgleda da|pogon stajnog trapa ne radi.
To je zupèasti prenos.|Ispusti ga mehanièki. Požuri!
Majore? -Da? -Toèak se zaglavio!|-Oslobodi ga! Idemo na sletanje!
Pokušao sam!|-Pokušaj ponovo!
Reci ovima da prestanu!|Mi smo Amerikanci!
Majore, ne ide.
Ovo je ðavolski naèin|da se uleti u rat.
Pazite, B-17, Japanac|vam je u repu!
Daj izveštaj o šteti!|-U redu.
Ser, ako ostanemo, razneæe nas.|-Reci ljudima da siðu.
Idemo, momci!
Gde su, doðavola, naši lovci?
Kapetane,
ošteæen je glavni rezervoar za|gorivo. Nagnuti smo 13 stepeni.
Onda ispravite, doðavola!|-U redi, ser.
Hoæete potvrdu, kapetane?|Pogledajte! Evo vam potvrde!
"Oklahoma"?|-Da, gospodine.
Torpedom je pogoðen prednji|deo. "Virdžinija", 6 torpeda
i više pogodaka po palubi.|Krstarice, dosta su ošteæene.
I "Kalifornija". Dva pogotka|torpedima. Vatra svuda.
Privremeno je napuštena.|Upravo dolazim odande.
To je šrapnel, gospodine.
Bilo bi milostivo|da me ubio.
Poruka voðe eskadrile,|Fušide.
"Ozbiljno oštetili veæi broj|bojnih brodova".
Bolje no što smo i sanjali!
Gde su naši primarni ciljevi,|amerièki nosaèi aviona?
Sekretaru!
Vazdušni napad na Perl|Harbur. Ovo nije vežba.
Ne može biti. Sigurno|su mislili na Filipine.
Ne, gospodine. To je Perl.
Dajte mi direktnu vezu sa|Belom kuæom. -Da, ser.
Dobar dan, gospodo ambasadori.|G. Hol æe vas ubrzo primiti.
Budite ljubazni i sedite.
G. Predsednièe, voleo|bih da potvrdite.
Voleo bih da potvrdite|pre nego što primim
Amuru i Kurusua.
Èekaju napolju.
Centrala! Centrala!
Dajte mi aerodrom|Holi Iva! Brzo!
Džordž, naði kola! Kamion,|bilo šta! Zovem Holi Ivu!
Reæi æu im da pripreme|avione! Idi!
Bojni brod sa leve strane,|gospodine!
To je "Nevada". Pokušava|da pobegne na more.
Potopiæemo je u kanalu. Luka|æe biti mesecima blokirana.
Preporuèeni kurs je 3-2-0.|-Dobro, držite ga se.
Napustite brod! Napustite|brod!
Ne možemo da proðemo|kroz kanal u ovom stanju.
Ako, potonemo,|blokiraæemo južni kanal.
Moramo se postaviti tamo,|èim se rašèisti.
Dosije 5.
To je poruka s kopna.
Kuriru!
Nosi ovo u kancelariju|generala Šorta.
Stavi u dosije.
Ovo mora da se dešifruje|i preda generalu.
Nosi u odeljenje za šifre i|neka požure. -Da, gospodine.
Ostavite creva i dajte|merdevine!
Šta vi èekate? -Nema vode.|-Zašto? Šta se desilo?
Arizona je presekla|glavnu cev!
O, Bože, a tankeri na okeanu|su puni avionskog goriva.
Ako ne uspemo, cela luka|æe odleteti u vazduh.
Za 50 godina, koliko sam|u javnoj službi,
nisam video dokument pun|tako sramnih i ispraznih fraza,
da nisam mogao ni da|zamislim do danas,
da ih ijedna vlada na ovoj|planeti može uputiti.
Gospodine Hol. -Idite.
Šta je bilo? Zašto nije krenuo|drugi talas, doðavola?
Ali, gospodine, niko nije|izdao nareðenje.
Onesposobili smo amerièke|aerodrome,
potopili 4 bojna broda|i teško oštetili još 3.
Nosaè kontraadmirala|Jamagušija poslao je signal!
"Napadaèka grupa spremna|za poletanje."
Nažalost, amerièki nosaèi|nisu bili u Perl Harburu.
Pošto ne znamo gde su|ne možemo da ih tražimo
sa ogranièenim kolièinama|goriva.
Ne zaboravite, tražiæe nas|neprijateljske podmornice.
Dosad smo imali sreæe.
Još nije dat signal za|poletanje? -Evo signala!
Kaže, "Svi brodovi nazad u|Japan, èim se vrate avioni."
Nemoguæe!
Mora da je greška!
Ne možemo se sad vratiti.
Moramo uništiti amerièke|nosaèe i njihove dokove,
bez obzira koliko to trajalo!
Grešite! Naš zadatak je|u potpunosti izvršen.
Ova grupa nam je bitna.|Moram je vratiti neošteæenu.
Ovaj rat tek poèinje.
Pred nama je još dug put.
U redu. Ovo je upravo stiglo|iz odeljenje za šifre.
Iz Ministarstva rata.
Dajte kopiju admiralu|Kimelu.
Izvinite, admirale,|iz Vašingtona. -Hvala.
Gospodo!
Japanci su danas u jedan|èas popodne,
po istoènom vremenu,|podneli ultimatum.
Ne znamo od kakvog æe|znaèaja biti ovaj trenutak,
ali budite stalno u stanju|pripravnosti.
Potpis, Džordž Maršal,
šef glavnog štaba.
Bože moj!
Mornarica ostaje sa samo|dve bojne grupe
u centralnom Pacifiku.|Našom i Leksingtonovom.
Admirale, ne želimo da nas|ovde uhvate u klopku.
To ne nameravam. Kad æete|biti spremni za odlazak?
Možemo se snabdeti tokom|noæi i isploviti pre zore.
Dobro. Sasvim dobro.
Ovo je objava Ministarstva|mornarice od 7-og decembra.
Carska mornarica je danas,|pre svitanja, uspešno izvršila
vazdušni napad na amerièku|pacifièku flotu na Havajima.
Pozdravljamo vrhovnog|zapovednika naše flote,
admirala Jamamota.
Nameravao sam da zadam|odsudni udarac amerièkoj
floti napadom na Perl Harbur,|odmah posle japanske
zvaniène objave rata.
Ali, prema amerièkom|radiju,
Perl Harbur je napadnut|55 minuta
pre našeg ultimatuma|upuæenog Vašingtonu.
Ne mogu da zamislim|ništa,
što bi više razbesnelo|Amerikance.
Bojim se da smo ovim samo|probudili uspavanog džina,
i ispunili ga straviènim|gnevom.
Bojim se da smo ovim|jedino probudili
uspavanog džina i ispunili|ga straviènim gnevom.
K   R   A   J
