{1}{1}23.976
{26}{176}–û–≥–ª–∞—à–∞–≤–∞—ò—Ç–µ —Å–≤–æ—ò –ø—Ä–æ–∏–∑–≤–æ–¥ –∏–ª–∏ –º–∞—Ä–∫—É –∫–æ–¥ –Ω–∞—Å; –∫–æ–Ω—Ç–∞–∫—Ç–∏—Ä–∞—ò—Ç–µ www.OpenSubtitles.org
{4438}{4501}Hej, Kirk, kako je?|- Kako si ti?
{69812}{69878}Sad sam ispod tebe,|samo se pomeri.
{69885}{69937}Mislim da sam se zaljubila|u tvoju pedalu za gas.
{70035}{70110}Opasno blizu. OduöevljavajuÊe,|ali opasno blizu.
{70346}{70473}Ovo mi je sediöte ionako lepöe.|- Popuöi jednu, pomaûe.
{70650}{70728}Znaö da sam htela jednom da|budem manekenka? - Stvarno?
{70732}{70787}Ali koliko dugo moûeö reklamirati|modele za osmogodiönjake?
{70848}{70943}A imala sam i previöe pune|obraze. Ove obraze. Ove ovde.
{71083}{71116}Boûe, mi smo sleteli.
{71168}{71265}Vidi, utakmica! - Pazi na klince!|- Pa vidim ih...- Nemoj klince!
{71698}{71752}Popni se i pogledaj|gde su otiöli.
{71811}{71925}Vidiö neöto? - Da, utakmicu.|Moûemo li da gledamo, tata?
{71932}{72035}Ti ostani i gledaj, ja se vraÊam. - Tata!
{72344}{72524}Sneöko, jesi li tu? Gde si?|- Kod oznake 85.
{72553}{72765}Pa i ja sam.|Dete mu... i jesi.
{73296}{73386}Kleds, ovo je éaba. - Zdravo,|upoznaj se s Fredom.
{73396}{73473}Ovo je za Freda. - éabo,|nahrani Freda.
{73501}{73560}Pa öta ti je? Rekao si da Êeö|je ostaviti na stanici...
{73566}{73630}Bilo je komplikacija. - Uvek|ti imaö komplikacija.
{73636}{73703}A znaö öta je komplikacija?|- Kako stojimo sa vremenom?
{73706}{73757}Uvek naletiö na neku.|Sa vemenom stojimo loöe.
{73797}{73921}Idemo. Prebaci se na|sledeÊi kanal.
{74036}{74104}Lepo dupe.|- Hvala lepo.
{74368}{74518}Hajde, Fred, doi, idemo.|Fred, dosta mi je veÊ ovog...
{74625}{74701}Jel te Kleds nazvao|legendom?
{74710}{74764}Zaöto?
{74806}{74890}Pa tako, nekad sam izvodio|ludorije. Nekad.
{75004}{75035}I ja sam.
{75198}{75237}Ja sam ciganka.
{75243}{75314}To je osoba koja trËi od jednog|baletnog zbora do drugog.
{75390}{75496}Znaö, jednom sam bila na|Brodveju. - Stvarno?
{75525}{75562}Skoro 12 minuta.
{75587}{75688}Predstava je iöla samo jedne|veËeri. A bila sam tako dobra.
{75694}{75753}Da si me barem video, uûasno|bi ti se svidelo.
{75944}{76044}A öta ti radiö? - Pa, ja...|- Iskreno.
{76132}{76245}Idem od mesta do mesta i|radim ono öto mi najbolje ide.
{76274}{76356}äta to?|- Pravim se vaûan.
{76457}{76708}Da. To dobro radiö,|baö dobro. I ja.
{76762}{76855}Skoro 12 minuta.|Umukni!
{76916}{77021}Fred, doi ovamo. Nemoj|da doem po tebe.
{77136}{77247}Meni se ûuri, a ti bi sad|plivao. PoludeÊu s tobom.
{77348}{77482}äta ti je? Ovo ti je poslednji|put da si u kamionu, da znaö.
{77699}{77787}»uj, moram na 10-100. Moûeö|da mi daö dolar za automat?
{77788}{77894}Provuci se ispod. - Predivno,|da se provuËem.
{78104}{78196}"Trans-am"! äta bi?|- Napuni mi ga.
{78240}{78413}Daj mi taj mikrofon.|Halo, gospodine Bandit.
{78442}{78552}Sluöaö li me moûda?|»ujeö me, momöe?
{78615}{78778}Ovde Bandit. Koga sluöam?|- äerif Buford Ti Dûastis iz Teksasa.
{78826}{78894}E pa dobrodoöli u Misisipi,|öerife. - Hvala, gospodine Bandit.
{78901}{79028}A ja Êu tebi dobrodoölicu da|priredim kad te dovuÊem kuÊi, ti...
{79032}{79176}...kuËkin sine. - Na radiju se|ne psuje. Izvinjavam se svima...
{79181}{79365}...koji sluöaju. Sad me sluöaj,|govno jedno. äÊepaÊu ja tebe.
{79370}{79467}Nisam doöao do ovde da|bih se vratio praznih dûepova.
{79474}{79555}To sam hteo da vas pitam.|Zaöto me uopöte pratite?
{79565}{79725}OdgovoriÊu sa zadovljstvom.|Znaö, kad te dovuËem kuÊi,
{79749}{79944}potraûiÊu najviöe drvo u|zemlji i obesiÊu te.
{79963}{80101}äerife... - Sluöam.| - ZnaÊe li vam neöto slova J.S.?
{80193}{80233}PametnjakoviÊ.
{80312}{80437}Evo, ovu zadrûi za sebe.|- Lepu voûnju ti ûelim gdine Bandit.
{80740}{80814}Sneöko, ja sam odmah iza tebe.|»ini mi se da je pred nama...
{80819}{80872}...put Ëist sve do granice|Alabame.
{80883}{80985}Do Alabame? VerovaÊu ti|tek kad sam vidim.
{80991}{81106}Ovde öerif Buford Ti Dûastis.|Poruka je namenjena svima.
{81113}{81212}Onaj "Trans-am" je krenuo|prema Alabami.
{81250}{81373}äta se dogodilo, tata?|- Vrati se u prokleta kola.
{81492}{81560}Znaö ko je po mom miöljenju|stvarno revolucionirao ameriËki...
{81567}{81684}...mjuzikl? Stiven Sondhejm.|- Da? A ko je to?
{81705}{81802}On piöe mjuzikle, te stvari?|- Da.
{81810}{81903}A jel radio neöto sa Brendom|Li? - A to je plesaËica?
{81908}{81986}Pa tako, vrti se. Mala vrtirepka. - A, to je bila dobra grupa.
{82031}{82093}A jesi li ti ikad bio|u ökolskim druûinama?
{82139}{82234}»eka nas druötvo.|Veliko druötvo.
{82249}{82323}NaredniËe, evo ga.|- Vidim, imam oËi.
{82613}{82702}Pa. jesmo li spremni?|- Ja sam se spremna i rodila.
{82720}{82826}äto stojiö tu, za njim! - Dobro|vozi, a? - Joö Êemo to da vidimo.
{83301}{83388}Naredniöe, jeste li ûivi?|- Vidiö valjda da se pomeram.
{83891}{83957}Da li bi skakala malo po bari,|ûabice?- Sjajno.
{85688}{85805}Znam da ste malo u öoku, ali|da li ste videli crni "Trans-am"?
{85828}{85935}Sve je ovo on napravio.|Momak je straöan, a?
{85942}{86012}Taj tvoj momak je nula.|S njim treba u ludnicu.
{86139}{86176}Sranje!
{86378}{86486}Video sam te, kuËkin sine!|To si namerno uradio!
{86498}{86609}Ima da osediö! Imam dokaz!|Stavi dokaz u kola.
{86614}{86691}Ali, tata... - Stavi dokaz|u kola.
{86718}{86821}SkuvaÊu ti dupe sa|öeÊernim sirupom!
{86989}{87044}Stavi dokaz pozadi.
{87244}{87401}To ne moûe biti, nikako ne moûe|biti da si ti plod mojih vena.
{87454}{87583}Kad se vratimo kuÊi, prvo Êu tvojoj|mami da opalim jednu po ustima.
{87825}{87972}Samo malo saÊekajte, mladiÊu.|Bandite, duöo, govori ti Dobra...
{87976}{88128}...Veötica Severa. Bolje ne dolazi ovamo, na putu 64 je...
{88133}{88262}...mala zapreka. - Sneöko,|Ëuo si? - Da, razumeo sam.
{88283}{88421}I slaûem se. Stao bih negde,|treba mi koji zalogaj i kapljica za put.
{88433}{88520}A vi pazite, vidimo se kasnije.|Ode Sneöko na stranu.
{88526}{88576}I mi Êemo malo stati,|sinko.
{88583}{88728}Gospoo, zar ne znate da|morate da date znak? - Stvarno?
{89385}{89504}Imamo malo vremena. Da|protegnemo noge, ûabice? - Moûe.
{90350}{90445}Napuni ga, Hos. Idemo mi,|Frederik, da pojedemo neöto...
{90451}{90583}...od one smrdljive Lamarove|hrane. Ti Êeö na dijetu.
{90754}{90843}Hajde.|Idemo unutra.
{90953}{91031}Lamar, iznenaenje! Vidi ko ti|je doöao. - Znao sam da dolaziö.
{91040}{91094}Kako si znao?
{91295}{91415}Pokvaren si do srûi. Pokvaren|kao i ta hrana kojom me trujeö...
{91427}{91515}äta hoÊeö? - Ne znam. Isto öto|i proöli put.
{91522}{91573}Samo da luk ovaj put ne|ostane sirov.
{91589}{91699}Pa kako si ti, äugarbear?|- PriliÊno dobro, a ti?
{91702}{91775}Dobro, s obzirom na moje|stanje. - Pozdravi Vinet.
{91804}{91891}»ini mi se da se Fred deblja.|Ma öta kaûeö.
{91902}{91985}A to sigurno nije od ove hrane.|- Ma nemoj mi reËi.
{92045}{92126}»uj, a odakle ti svi ovi|motorizovani divljaci?
{92149}{92261}Nemam pojma, sad su doöli. Ja|idem napolje, vidimo se kasnije.
{92289}{92344}Da, öto me ne biste|svi ostavili?
{92365}{92492}Centrala, ovde Kleds Snou,|zovem na raËun tog broja.
{92514}{92591}Ne, ja nisam brat|Henka Snoua.
{92677}{92719}Zdravo, öeÊeru,|kako ide?
{92819}{92970}Mogu li da pitam neöto? - Naravno.|- Imamo li mi neöto zajedniÊko?
{93032}{93108}Mislim, pored toga öto beûimo|preko cele drûave u tim kolima.
{93137}{93227}Da.|äta, na primer?
{93275}{93355}Jesi li ikad gledao brodvejski|»orus Lajn? - Ne.
{93414}{93514}Svia ti se Elton Dûon?|- Ne.
{93584}{93671}A znaö li ti ko je Kejsi|Tibs? - IgraË bejzbola?
{93676}{93736}Blizu si. RiËard Pet?|Ne.
{93764}{93852}Vejling Dûenings?|- Ne.
{93918}{93994}Kad nekome neöto kaûeö, to|zavisi od toga u kom si...
{93999}{94064}...delu drûave i koliko|si glup.
{94202}{94291}Gospodine Bandit, vi znate na|liriËan naËin da prekinete sranje.
{94297}{94361}A vi na jedinstven naËin vladate|jezikom, gice éabice.
{94695}{94795}Zar ti nikad ne skidaö|taj öeöir? - Da, naravno.
{94816}{94866}Samo zbog jedne stvari ga|skidam, samo jedne.
{95042}{95129}A da smo mi sami na pustom|ostrvu... Da?
{95143}{95262}Misliö da bismo se mogli|sloûiti, priËati i sve to?
{95320}{95469}Naravno. Sloûili bismo se. Ne|bi bilo dosadno, to je sigurno.
{95599}{95628}Skini öeöir...
{95714}{95739}Ako ûeliö.
{95911}{95942}éelim.
{96524}{96609}Ne. Duöo, joö malo pa Êemo|kuÊi. Gladan sam.
{96635}{96678}Hej, jel to tvoj pas?
{96748}{96811}Sad moram da krenem,|moram da krenem...
{96860}{96936}Da, to je moj pas. - E pa|upravo me ugrizao.
{96967}{97049}Fred, doi ovamo. - Rekao sam|da me ugrizao.
{97063}{97158}Hajde da mu olaköamo muke.|- Da ga ispeÊemo. - I pojedemo.
{97194}{97313}Ne verujem da vas je Fred|ugrizao jer on ne podnosi smrad.
{97679}{97750}Vreme je da se leti odavde.|- Ta ti je dobra.
{98983}{99101}Koliko sam ti duûan?|- 73, 84 dolara.
{99120}{99277}U redu, zadrûi ostatak.|éao mi je zbog ovoga.
{99280}{99318}U redu je, Lamar.
{99976}{100013}Ludnica!
{100148}{100196}äta je ovo, bioskop?
{100305}{100348}Ma daj, skloni se.
{100880}{100990}Kako ste, ja sam... - Baö me briga|öta ste, da budete i Broderik Kravford.
{101002}{101087}Vi ne znate da se u ovakvom|sranju ne vozi po putu?
{101101}{101190}Bio bih vam zahvalan kad preda|mnom ne biste tako govorili.
{101194}{101283}Ma pusti to sranje.|Koji je ovo avo?
{101309}{101377}To je dokaz. - Dokaz?
{101388}{101511}Baö me briga öta je, u ovom|sranju se na mom putu neÊete voziti.
{101515}{101672}Poslednji put vam kaûem, uz|mene je moj mlai sin i ne dopuötam...
{101676}{101704}...da se tako priËa.
{101709}{101770}»uj ti, samo pitam...
{101776}{101827}Stani!
{101911}{102020}Da se viöe nisi usudio da podigneö|glas. Znaö ti s kim priËaö?
{102026}{102173}Ja sam sluËajno Buford Ti Dûastis.|ugledan policajac sa viöe od...
{102176}{102269}...30 godina sluûbe. Jedan od|najpoötovanijih Ëuvara zakona...
{102272}{102380}...u Sjedinjenim AmeriËkim|Drûavama.
{102394}{102509}Ovo vozilo je sluËajno dokaz,|dragocen dokaz o zloËinu...
{102513}{102644}...manijaka kog pokuöavam da|uhapsim i kog jurim veÊ...
{102671}{102808}...viöe od 100 km.
{102856}{103010}Traûe ga zbog överca, otmice|i pokuöaja ubistva viöe...
{103014}{103082}...od 20 naöe braÊe|policajaca.
{103242}{103432}éao mi je, gospodine. Ja...|Nisam znao. Nastavite, molim vas.
{103453}{103551}I, gospodine, molim vas prihvatite|izvinjenje za ove moje reËi.
{103582}{103675}Izvinjenje se prihvata.|A sad...Odjebi !
{103928}{104000}äta je s tobom, Bandite?|»ujes li Sneöka?
{104009}{104133}»ujem, sine. - »uj, neÊeö da mi|verujeö, ali malopre sam...
{104138}{104227}...imitirao Dûoa Poluku|s nekim tipovima u onoj rupi.
{104244}{104331}Ja verujem, öta god kaûeö.|I kako je bilo? Kao uvek?
{104336}{104535}Da, normalno. Izgubio sam. Ali|izgubili smo i mnogo vremena.
{104554}{104684}Sad moramo dobro da zapraöimo.|Dogovoreno? - Dogovoreno.
{104947}{105044}Najozbiljnija veza mi je bila|sa jednim rok pevaËem.
{105055}{105087}Robert Krendbli.
{105102}{105164}Bili smo zajedno|taËno osam i po dana.
{105179}{105219}VeÊ sam pomislila|da je to to.
{105224}{105317}I? - I jednog dana sam doöla|kuÊi i naöla ga pod tuöem...
{105351}{105418}...s nekom curom.|I njenom majkom!
{105457}{105492}Barem je zadrûao porodicu.
{105715}{105813}Ti sve znaö da uzmeö na pravi naËin.|I on je znao. - O, da.
{105961}{106096}Ovde Bandit. Traûim nekog ko|ide na zapad na putu 85.
{106123}{106221}Treba mi hitno izveötaj o|Smokijima. Ovde Foksi Lejdi.
{106241}{106337}»ule smo da dolaziö i odluËile da|mi sredimo medvede.
{106354}{106466}Specijalna usluga, znaö. - Onda|mi samo poöalji raËun.
{106486}{106621}A öto ti ne doeö i sam platis?|- SvratiÊu drugi put.
{106630}{106674}Sad sam malo previöe umoran|za takav zamor.
{106682}{106716}Tata, sluöaj... - Umukni!
{106723}{106885}Ali ja sam blizu, kod oznake 86.|Svrati malo. - Nagovorila si me.
{106902}{107002}Sad Êu ja uhvatiti tog kuökinog|sina, i to sa otvorenim ölicem!
{107056}{107168}A öta Êemo da radimo kad doemo|kuÊi? - IÊi u krevet, na nedelju dana.
{107174}{107234}Dobra ideja.| I spavati.
{107300}{107333}Da se kladimo?
{107358}{107466}Hej, jesi li video onu novu|konobaricu? - Da, öto ta ima...
{107472}{107539}...dobar par nogu. - Aha,|dobra je. Ja bih je malo probao.
{107542}{107597}Ma daj, öta priËaö? - Ali, kaûem ti...
{107738}{107780}Da okuöamo sreÊu?|- Za njim!
{107907}{108001}Ovde kola 4, pratimo|crni "Trans-am". To je Bandit.
{108618}{108645}Sranje!
{108850}{108927}Ispred mene je pokretna benzinska|stanica, Ëujete me?
{108932}{109021}Bandit? Ja vozim ovu|rafineriju na toËkovima.
{109027}{109177}Joö ti je neko za repom? Moûemo|li da se ubacimo u vaö konvoj?
{109181}{109284}Samo doi. StaviÊemo te u|ljuljaöku i igraÊemo se ûmurke.
{109314}{109391}Imaö dobrodoölicu.|Stigao si kuci.
{109485}{109526}Idemo izmeu njih.|- Dobro je.
{109671}{109744}Predivni su,|predivni.
{109853}{109898}Ovo nije konvoj,|ovo je san!
{110161}{110236}Odozgo se sve vidi, znaö.|Pa öta?
{110248}{110323}Zato sam i voleo da vozim|ove kamione. Zbog ribica.
{110445}{110512}Ovde si sigurna kao u|majËinoj utrobi. - Jel?
{112091}{112154}Hvala ti, gdine Bi. Ne znam kako|da ti zahvalim.
{112162}{112298}Tako da te ne uhvate. Dobar|dan ûelim, i sutra joö bolji.
{112302}{112441}Hej, ovde Mala maca. Pedalu|do daske, mi ti Ëuvamo lea.
{112527}{112627}Sneöko, Ëujes li, sinko?|- Tvoj sam, sreÊkoviÊu.
{112656}{112766}Sad Êeö naiÊi na konvoj.|Samo pritisni gas i pusti se.
{112776}{112845}Razumem te. KreÊem veÊ,|kreÊem...
{114037}{114124}Pa da ste i guverner Teksasa,|opet kaûem da greöite.
{114259}{114372}ProËitaj mu prava, Juniore.|Imate pravo da Ëutite...
{114379}{114441}Sve öto kaûete moûe se|upotrebiti protiv vas na sudu.
{114505}{114640}äta je ovo? - Baö mi je drago|öto Êete mi pomoÊi.
{114652}{114783}Ja sam öerif Buford Ti Dûastis.|Upravo sam uhapsio Bandita.
{114803}{114882}Ne, gospodine. Upravo ste|uhapsili mog kapetana.
{114972}{115111}Skini mu lisice, Juniore. - Ali,|tata... - Skini ih, rekao sam.
{115264}{115386}Dopustite da izrazim ûaljenje|zbog ove neprilike.
{115400}{115558}Ali ako zalazite na ovakva mesta,|nosite znaËku na gaÊama.
{116114}{116160}Bandite, sluöaj ovo.
{116199}{116311}Znaö ko je to? To je zla napast.|Zavirio je u kamion dok nisam...
{116315}{116411}...pazio. Poûuri i pomozi mi,|inaËe smo pobrali svoje.
{116417}{116526}Potvrdi da si Ëuo. - Drûi se|Freda, sinko, konjica stiûe!
{116822}{116902}Kako ide? Daj mi dozvolu i|otpremnicu, momËe.
{116908}{117031}Otpremnicu... - Znaö da si vozio|150 na sat? - Jel?
{117042}{117115}Nego öta nego jesi. - Nisam ni|znao da ovaj kamion moûe toliko.
{117126}{117195}Kad padneö sudiji u ruke,|videÊeö sve osim slobode.
{117220}{117276}Vreme je da vi kamionije|nauËite da putevi nisu vaöi.
{117285}{117334}Mislio sam...
{117495}{117533}»uvaj se,|Ëujeö me?
{118066}{118143}Jesi li za mali savet?|- Reci, sinko.
{118165}{118237}Ne skidaj nogu sa pedale,|ovi medvedi Êe se baciti...
{118241}{118283}...na tebe kao na|medeni sirup.
{119157}{119198}Moûeö li?|- Da.
{119207}{119274}Sinko, ne znaö da danas nije|subota? - Baö ti hvala.
{120150}{120197}PomoÊ mi nije potrebna,|vidim ga.
{120384}{120449}Centrala, ne obraÊajte|paûnju na moju zadnju poruku.
{121153}{121255}Sinko, moûeö li me pustiti|na sledeÊoj stanici?
{121271}{121378}Sine, skoÊi tati po pivo.|...Cela policija ga juri.
{121399}{121477}Ostani po strani, javiÊu ti.|- Razumem.
{121521}{121577}Do avola, kakvu je|taj guûvu napravio.
{122239}{122343}Reci kako mogu da pomognem i|ja sam uz tebe i duöom i telom.
{122407}{122521}Da li ti to brbljaö, VruÊe|gaÊice? - A ko bi hteo da zna?
{122529}{122647}Bandit, draga. - Pa gde je taj|mali laskavac u velikom telu?
{122664}{122781}I kako ti mogu pomoÊi? - Radiö|li joö u onoj rupi uz put?
{122791}{122874}Odgovor pozitivan.|Joö se bakÊem.
{122889}{122995}Sluöaj, mi stiûemo za koji minut,|a za nama je ceo Êopor pajkana.
{123013}{123079}Kako bi bilo da izvuÊeö one svoje|klince i blokiraö im put?
{123090}{123184}Rado, samo za to si mi duûan|uslugu. - Jednu veliku.
{123327}{123432}Idemo, druötvo, na velikog|crvenog medveda.
{123442}{123472}HoÊeö sa mnom?|- Da.
{123623}{123723}Siguran si da neÊe biti problema?| - Ma da, veÊ smo to radili.
{124104}{124190}Stiûemo, draga, jesi li spremna?|- Spremna i ûeljna.
{124208}{124263}Spremna i ûeljna,|to je uvek bila.
{124385}{124451}Druötvo, budimo spremni.|On stiûe!
{124465}{124494}Hajde,|odgovori joj.
{124517}{124564}Spremni smo.
{124581}{124612}Pusti to dugme.
{125646}{125787}Vaûno! Bandit je na putu 95 prema|istoku. Poziv svim jedinicama.
{125792}{125839}Helikopter 1, Ëuli smo.|KreÊem.
{126201}{126248}Ovde Baker.|KreÊem na zabavu.
{126799}{126874}Ovde kola 12. Imamo ga na|putu 75, smer zapad.
{127178}{127246}Kleds, gde smo to?|- Jos 6 km.
{127336}{127418}6 km, avo da ih odnese.|6 kilometara!
{127584}{127719}Bo, jesi li raËunao na ovo?|- Na sve ovo?
{127855}{127889}Nisam, draga.
{128041}{128151}Kleds? - Reci, sine moj.|- Napravili smo öta smo mogli.
{128209}{128325}Ni mene to baö ne raduje,|ali neÊemo uspeti.
{128350}{128410}Obesi stvar na klin i gotovo.|- Negativno, negativno!
{128413}{128483}äta ti je, jesi li poludeo?|Zar ne vidiö dokle smo doöli?
{128492}{128560}Sluöaj, kad mi kaûemo da Êemo|neöto napraviti, onda i napravimo.
{128563}{128626}Oni mene jure. Oni ne znaju|da Kleds Snou postoji.
{128638}{128742}E pa znaö öta Êemo onda?|Lepo Êemo ih upoznati sa momkom.
{128775}{128908}Zato se skloni malo,|sad prolazi nas Sneöko.
{128941}{128969}Drûi se, Fred!
{129214}{129243}Ipak Êemo uspeti.
{129702}{129762}Sklonite ta vozila!|Moramo se probiti ovuda!
{129777}{129814}Evo ih!
{130723}{130796}Tata, tvoja je veÊera,|Ëini mi se, propala.
{131198}{131306}Guûva... - Dobro, znam da|smo u guûvi. Koliko je sati?
{131332}{131367}ZnaËi, stigli smo|10 minuta ranije.
{131371}{131455}Ali smo u guûvi. - Znam. Dve|stvari nam trebaju, neöto za...
{131461}{131507}...bekstvo i novac.|- Uzmite moj kadilak.
{131567}{131620}Kleds, pokupi novac. - Da,|kako bi bilo da dobijemo novac?
{131626}{131660}A kako bi bilo da dobijete|duplo viöe ili niöta?
{131664}{131723}A kako bi bilo da to zaboraviö?|- »ekaj, öta treba za duplo viöe?
{131727}{131805}Da odeö do Bostona i doneseö malo|ökoljki u sosu za tatu i mene.
{131818}{131879}Ovaj... - Dogovoreno.|- Dogovoreno.
{131884}{131949}Za 18 sati?|- I to moûe.
{131975}{132064}Ti si lud. A ja sam|razveden Ëovek.
{132109}{132156}Pogledaj kako je ovaj debeo.
{132592}{132642}20:1 da Êu|ga ovaj put uniötiti.
{132802}{132860}Ja stavljam 500 dolara|na Bandita.
{133026}{133126}Uhapsi onog konja tamo zbog|opasne voûnje. - Ali, on je...
{133132}{133190}Uradi kako sam ti rekao,|majmune jedan!
{133370}{133528}äerifa Buforda Ti Dûastisa,|molim. - Ko je? - Bandit Darvil.
{133561}{133701}Gde si, kuËkin sine? - Pre|nego öto vam kaûem, rekao bih...
{133704}{133792}...neöto drugo. U vama je krv|rakuna. Jer, mene su lovili...
{133796}{133896}...najbolji, ali pored vas su|oni kao u usporenom kretanju.
{133937}{134008}To sam hteo da kaûem.|- Pa, hvala vam, gdine Bandit.
{134031}{134127}A kao vaö progonitelj|moram da kaûem da ovakvog...
{134131}{134188}...avola joö nisam jurio.
{134219}{134340}Sad kad smo zavröili s tim|sranjem, reci gde si, kuËkin sine!
{134352}{134456}Odmah ispod brda. Dva metra|i pet, u kaubojskom odelu.
{134467}{134555}Pored mene je mali pigmejac u|istom odelu, Nema greöke.
{134676}{134719}Samo malo,|stanite!
{134744}{134810}Ne mogu da vas laûem, öerife,|suviöe ste dobar covek.
{134817}{134856}Pogledajte levo.
{134998}{135073}Idemo u Boston po neke|ökoljke. Do vienja.
{135125}{135171}Nemoj da mi zameriö, Juniore.
{135188}{135250}Ne odustajem,|ne odustajem!
{135358}{135408}UhvatiÊu ja tebe...|- Tata, Ëekaj me!
{135416}{135503}Nemoj da me ostaviö.|Ko Êe da ti drûi öeöir?
{135528}{137028}–ú–æ–ª–∏–º–æ –≤–∞—Å –¥–∞ –æ—Ü–µ–Ω–∏—Ç–µ –æ–≤–∞—ò —Ç–∏—Ç–ª –Ω–∞ www.osdb.link/5zpme|–ü–æ–º–æ–∑–∏—Ç–µ –¥—Ä—É–≥–∏–º –∫–æ—Ä–∏—Å–Ω–∏—Ü–∏–º–∞ –¥–∞ –∏–∑–∞–±–µ—Ä—É –Ω–∞—ò–±–æ—ô–µ —Ç–∏—Ç–ª–æ–≤–µ
